"","X","End_time","Finished","Respondent_group","Screening","Consent","Reason_nc","Check_group","Ob_lawyers","Ob_politicians","Ob_journalists","Ob_med_doctors","Ob_accountants","Ob_army_lieutenants","Ob_bankers","Ob_judges","Ob_detectives","Ob_scientists","Ra_lawyers","Ra_politicians","Ra_journalists","Ra_med_doctors","Ra_accountants","Ra_army_lieutenants","Ra_bankers","Ra_judges","Ra_detectives","Ra_scientists","Op_lawyers","Op_politicians","Op_journalists","Op_med_doctors","Op_accountants","Op_army_lieutenants","Op_bankers","Op_judges","Op_detectives","Op_scientists","Iq_lawyers","Iq_politicians","Iq_journalists","Iq_med_doctors","Iq_accountants","Iq_army_lieutenants","Iq_bankers","Iq_judges","Iq_detectives","Iq_scientists","In_lawyers","In_politicians","In_journalists","In_med_doctors","In_accountants","In_army_lieutenants","In_bankers","In_judges","In_detectives","In_scientists","Co_lawyers","Co_politicians","Co_journalists","Co_med_doctors","Co_accountants","Co_army_lieutenants","Co_bankers","Co_judges","Co_detectives","Co_scientists","Country","Year_born","Gender","Religiousness","Feedback"
"40",46,"5/14/2014 0:52",1,"Educated",NA,1,NA,1,100,60,100,100,91,88,69,100,75,100,96,61,69,99,81,86,75,96,90,100,89,85,99,100,65,73,49,89,96,91,89,63,76,100,69,78,82,99,86,98,88,67,87,99,79,78,72,96,73,98,93,83,69,53,44,80,87,33,75,90,187,69,1,42,NA
"41",47,"5/14/2014 0:54",1,"Educated",NA,1,NA,1,50,21,32,55,72,57,64,87,57,70,60,42,54,60,73,83,61,89,70,79,45,29,50,48,63,44,56,81,55,71,70,64,67,80,75,57,64,89,69,92,30,31,61,55,81,74,67,79,72,76,66,71,62,76,25,54,20,62,58,61,187,34,1,42,NA
"42",49,"5/14/2014 0:54",1,"Educated",NA,1,NA,2,46,49,38,61,53,70,49,75,44,57,61,49,61,33,63,50,48,64,68,56,63,61,67,38,70,61,73,56,61,43,39,74,75,50,52,56,67,42,66,67,66,36,59,73,54,56,50,66,45,54,63,59,46,50,63,49,70,56,51,43,187,61,1,42,NA
"43",50,"5/14/2014 0:56",1,"Educated",NA,1,NA,1,0,0,20,50,100,20,50,80,80,100,80,20,30,100,100,50,50,80,100,100,0,0,50,100,100,0,0,80,100,100,20,0,20,100,100,20,50,80,80,100,0,0,0,90,50,0,0,80,50,90,100,100,100,0,0,50,50,50,0,50,187,34,1,42,NA
"44",51,"5/14/2014 0:59",1,"Educated",NA,1,NA,2,21,6,12,48,53,53,6,5,21,59,13,6,15,65,63,46,26,13,17,61,20,22,12,29,11,10,24,2,17,38,52,12,14,74,47,48,39,57,29,84,13,1,1,67,9,21,7,16,14,67,53,71,5,29,23,50,10,23,11,32,187,48,2,44,NA
"45",52,"5/14/2014 0:59",1,"Educated",NA,1,NA,1,45,40,65,90,85,55,49,50,65,89,55,66,76,80,81,65,60,80,76,80,35,25,70,95,80,65,40,45,65,95,40,50,75,96,81,60,35,50,70,96,35,50,75,85,75,65,60,55,70,90,75,65,85,85,70,80,70,60,70,80,187,30,1,41,NA
"46",53,"5/14/2014 1:02",1,"Educated",NA,1,NA,1,31,8,20,93,52,50,28,49,39,79,48,19,33,88,31,28,33,54,42,81,27,18,29,68,52,81,49,40,60,90,62,19,18,97,80,30,61,51,41,91,40,18,19,69,39,70,38,71,49,80,90,91,89,80,90,63,80,49,71,80,187,27,1,42,NA
"47",54,"5/14/2014 1:10",1,"Educated",NA,1,NA,2,49,30,19,61,91,91,92,71,91,90,70,22,18,97,96,91,91,91,91,90,69,80,91,60,59,20,59,80,70,61,88,9,59,100,91,59,60,91,80,99,60,60,70,90,91,90,90,91,91,90,76,95,55,24,25,65,35,24,74,25,187,36,1,39,NA
"48",56,"5/14/2014 1:31",1,"Educated",NA,1,NA,1,18,10,70,70,90,70,8,60,70,100,70,10,90,95,100,90,20,80,90,100,60,10,90,80,60,60,10,70,70,100,70,40,80,90,100,70,70,70,70,90,10,10,70,60,80,70,10,65,70,80,100,100,90,80,50,80,90,60,70,80,187,50,2,44,NA
"49",57,"5/14/2014 1:32",1,"Educated",NA,1,NA,2,83,80,75,80,88,80,87,85,93,93,92,84,94,91,89,97,93,91,88,80,89,89,97,80,80,58,71,90,91,80,94,77,86,97,89,88,80,89,88,94,89,80,83,90,87,96,92,93,87,93,89,94,88,98,90,93,84,90,94,92,187,34,1,44,NA
"50",58,"5/14/2014 1:32",1,"Educated",NA,1,NA,1,64,6,98,72,61,61,60,89,93,97,100,23,100,100,77,85,85,100,100,100,69,55,100,73,50,33,66,83,79,100,59,40,92,87,69,54,29,84,92,100,100,99,100,100,100,100,100,100,100,100,91,100,60,60,42,99,60,80,61,62,187,39,2,41,NA
"51",59,"5/14/2014 1:35",1,"Educated",NA,1,NA,1,50,33,66,90,95,83,90,87,75,85,50,33,77,93,97,65,85,80,77,80,60,13,33,90,93,75,75,40,87,60,75,85,85,97,96,84,88,91,78,95,66,10,50,95,97,90,92,76,86,95,100,100,93,91,80,95,71,96,98,75,187,30,1,40,NA
"52",60,"5/14/2014 1:39",1,"Educated",NA,1,NA,1,85,89,88,95,90,85,89,88,90,89,92,81,92,98,94,51,90,72,80,71,67,70,84,94,93,69,87,74,87,92,90,74,90,94,90,93,93,94,88,89,96,89,88,89,91,81,94,92,93,85,92,91,93,91,90,92,91,91,84,90,187,68,2,44,NA
"53",63,"5/14/2014 1:47",1,"Educated",NA,1,NA,1,81,49,59,80,100,89,88,81,89,39,32,22,31,78,100,49,84,70,75,43,9,40,30,71,82,11,81,74,86,26,79,50,59,91,100,83,94,69,85,69,9,12,35,83,94,85,68,74,73,17,95,98,98,79,87,83,71,95,96,55,187,33,1,44,NA
