"","Start_time","End_time","Finished","Respondent_group","Screening","Consent","Reason_nc","Check_group","Ob_lawyers","Ob_politicians","Ob_journalists","Ob_med_doctors","Ob_accountants","Ob_army_lieutenants","Ob_bankers","Ob_judges","Ob_detectives","Ob_scientists","Ra_lawyers","Ra_politicians","Ra_journalists","Ra_med_doctors","Ra_accountants","Ra_army_lieutenants","Ra_bankers","Ra_judges","Ra_detectives","Ra_scientists","Op_lawyers","Op_politicians","Op_journalists","Op_med_doctors","Op_accountants","Op_army_lieutenants","Op_bankers","Op_judges","Op_detectives","Op_scientists","Iq_lawyers","Iq_politicians","Iq_journalists","Iq_med_doctors","Iq_accountants","Iq_army_lieutenants","Iq_bankers","Iq_judges","Iq_detectives","Iq_scientists","In_lawyers","In_politicians","In_journalists","In_med_doctors","In_accountants","In_army_lieutenants","In_bankers","In_judges","In_detectives","In_scientists","Co_lawyers","Co_politicians","Co_journalists","Co_med_doctors","Co_accountants","Co_army_lieutenants","Co_bankers","Co_judges","Co_detectives","Co_scientists","Country","Year_born","Gender","Occupation","Occupation_other","Religiousness","Feedback"
"35","5/13/2014 23:32","5/13/2014 23:44","1","Educated",NA,"1",NA,"2","77","56","69","100","76","56","90","89","91","92","95","58","82","100","100","90","97","91","86","100","50","51","100","98","65","77","71","50","91","100","96","67","81","99","96","81","91","91","87","100","91","53","87","100","100","80","95","81","94","98","100","100","100","88","79","98","89","92","96","95","187","60","1","11","executive","43",NA
"36","5/13/2014 23:41","5/13/2014 23:45","1","Educated",NA,"1",NA,"1","73","42","86","100","76","100","51","100","90","100","68","53","57","89","61","77","65","83","79","83","80","50","91","51","70","92","29","70","90","61","69","70","61","91","69","61","70","91","49","100","38","21","20","91","60","100","45","90","80","79","100","100","86","72","100","29","100","59","30","100","187","54","1","11","Architect","42",NA
"37","5/13/2014 23:57","5/14/2014 0:01","1","Educated",NA,"1",NA,"1","55","30","91","79","62","35","96","67","77","94","67","17","87","73","84","62","49","77","47","74","34","55","86","34","64","16","42","57","94","90","88","71","92","77","57","22","48","68","83","94","71","24","87","79","98","92","94","73","86","97","86","55","48","88","39","5","42","9","44","65","187","68","1","11","nonproffit","43",NA
"38","5/14/2014 0:03","5/14/2014 0:05","1","Educated",NA,"1",NA,"2","71","59","81","60","49","49","60","91","70","81","67","93","89","93","76","96","76","97","79","91","83","84","77","71","68","73","67","96","89","97","69","81","70","98","60","81","61","90","59","91","70","59","87","99","60","94","59","99","71","86","75","84","85","65","50","85","63","77","64","75","187","65","1","11","Educator","41",NA
"39","5/13/2014 23:59","5/14/2014 0:09","1","Educated",NA,"1",NA,"2","16","0","0","57","21","45","40","41","37","62","26","0","0","50","25","42","44","39","18","47","4","0","5","47","31","52","36","35","28","58","7","0","7","56","22","45","43","23","39","64","2","0","0","60","12","64","6","36","23","51","58","65","7","39","11","78","40","19","14","29","187","31","2","11","homemaker","38",NA
"40","5/14/2014 0:18","5/14/2014 0:27","1","Educated",NA,"1",NA,"1","71","9","8","49","100","50","100","100","50","50","100","8","50","49","49","100","49","100","49","50","49","2","0","0","79","30","49","100","51","0","100","20","69","100","100","100","100","100","80","100","55","19","19","81","80","100","81","100","80","80","100","100","100","29","29","59","30","29","29","100","187","37","2","11","artist","44",NA
"41","5/14/2014 0:33","5/14/2014 0:36","1","Educated",NA,"1",NA,"2","5","5","5","5","5","5","6","6","6","6","2","6","5","6","6","6","6","6","7","5","4","4","5","5","4","5","5","5","5","4","6","5","6","5","5","4","5","6","4","4","6","6","7","6","6","6","7","7","7","6","6","6","5","7","6","6","6","6","6","5","187","50","1","10",NA,"38",NA
"42","5/14/2014 0:13","5/14/2014 0:39","1","Educated",NA,"1",NA,"1","78","2","4","90","84","89","41","79","79","92","69","10","60","96","63","91","75","76","62","97","70","75","84","71","62","27","61","71","65","59","75","39","28","99","79","70","69","88","75","97","15","4","21","94","85","88","73","82","80","87","92","83","87","51","55","84","74","63","69","68","187","63","1","11","management","38",NA
"43","5/14/2014 0:35","5/14/2014 0:42","1","Educated",NA,"1",NA,"4","83","79","63","80","70","49","50","89","76","89","86","82","60","95","97","85","91","94","90","90","70","52","60","76","66","64","65","90","85","80","91","69","64","95","80","75","60","96","71","86","91","71","69","91","84","96","79","94","75","92","69","60","81","40","60","81","28","40","39","59","187","61","1","1",NA,"39",NA
"44","5/14/2014 0:42","5/14/2014 0:48","1","Educated",NA,"1",NA,"1","29","9","45","100","90","100","39","80","100","80","39","5","50","100","50","100","40","70","95","91","60","9","49","91","70","39","80","91","100","49","98","55","49","100","91","100","70","90","100","100","8","9","39","90","81","92","9","38","91","79","91","90","100","9","10","100","50","9","9","70","187","51","1","5",NA,"42",NA
