"","Start_time","End_time","Finished","Respondent_group","Screening","Condition","Consent","Reason_nc","Check_phd","Check_group","ob1","ob2","ob3","ra1","ra2","ra3","op1","op2","op3","iq1","iq2","iq3","in1","in2","in3","co1","co2","co3","Country","Year_born","Year_phd","Gender","Religiousness","Feedback","Target"
"41","5/14/2014 10:42","5/14/2014 10:47","1","Scientists",NA,"Scientists_Scientists","1",NA,"1","1",5,4,4,4,3,6,5,1,5,1,1,3,5,7,4,4,1,5,"158","65","94","1","43",NA,"Scientists"
"42","5/14/2014 10:44","5/14/2014 10:49","1","Scientists",NA,"Scientists_Educated","1",NA,"1","1",6,5,6,5,1,6,6,6,6,3,1,2,7,5,4,6,6,3,"36","63","93","1","39",NA,"Educated"
"43","5/14/2014 10:50","5/14/2014 10:54","1","Scientists",NA,"Scientists_Scientists","1",NA,"1","1",6,6,3,5,6,5,5,6,6,2,2,4,6,6,6,6,3,2,"185","57","81","2","38",NA,"Scientists"
"44","5/14/2014 10:47","5/14/2014 10:54","1","Scientists",NA,"Scientists_Educated","1",NA,"1","1",6,6,6,6,6,6,6,6,6,3,4,5,6,2,4,5,3,2,"84","63","94","1","38",NA,"Educated"
"45","5/14/2014 11:00","5/14/2014 11:04","1","Scientists",NA,"Scientists_Educated","1",NA,"1","1",1,1,1,1,3,4,3,5,2,5,3,2,2,1,1,1,1,1,"156","59","94","2","41",NA,"Educated"
"47","5/14/2014 10:53","5/14/2014 11:07","1","Scientists",NA,"Scientists_Scientists","1",NA,"1","1",5,6,4,6,7,6,3,6,2,6,2,6,6,7,7,6,4,4,"86",NA,NA,"1","44",NA,"Scientists"
"48","5/14/2014 10:57","5/14/2014 11:09","1","Scientists",NA,"Scientists_Scientists","1",NA,"1","1",5,2,2,6,6,6,6,5,5,2,3,NA,6,3,6,3,5,1,"163","44","83","1","44",NA,"Scientists"
"49","5/14/2014 11:07","5/14/2014 11:12","1","Scientists",NA,"Scientists_Educated","1",NA,"1","1",5,4,4,6,5,5,5,6,6,5,4,3,5,3,2,5,4,2,"60","53","82","1","38",NA,"Educated"
"50","5/14/2014 11:02","5/14/2014 11:13","1","Scientists",NA,"Scientists_Educated","1",NA,"1","1",3,3,4,6,6,5,3,3,2,3,5,5,2,2,2,2,3,2,"162","54","83","1","38",NA,"Educated"
"51","5/14/2014 11:09","5/14/2014 11:13","1","Scientists",NA,"Scientists_Scientists","1",NA,"1","1",6,6,2,5,6,6,6,6,6,2,5,4,6,6,5,7,2,2,"163","43","72","1","40",NA,"Scientists"
"52","5/14/2014 11:01","5/14/2014 11:17","1","Scientists",NA,"Scientists_Scientists","1",NA,"1","1",2,6,6,6,4,7,7,7,7,1,4,4,7,7,7,7,7,1,"126","52","83","1","44",NA,"Scientists"
"53","5/14/2014 10:48","5/14/2014 11:17","1","Scientists",NA,"Scientists_Educated","1",NA,"1","1",5,2,2,5,5,3,3,3,3,3,4,4,2,2,2,2,2,1,"61","45","73","1","38",NA,"Educated"
"55","5/14/2014 11:16","5/14/2014 11:26","1","Scientists",NA,"Scientists_Scientists","1",NA,"1","1",6,7,2,7,7,7,6,5,3,6,7,7,7,7,7,3,6,6,"36","50","83","1","41",NA,"Scientists"
"56","5/14/2014 11:17","5/14/2014 11:28","1","Scientists",NA,"Scientists_Educated","1",NA,"1","1",3,5,2,5,6,7,5,6,6,5,5,5,6,3,3,6,4,1,"31","44","73","2","39",NA,"Educated"
"57","5/14/2014 11:34","5/14/2014 11:38","1","Scientists",NA,"Scientists_Scientists","1",NA,"1","1",6,6,2,6,6,6,6,6,6,5,5,6,6,6,7,3,5,5,"17","39","70","2","40",NA,"Scientists"
"59","5/14/2014 11:43","5/14/2014 11:47","1","Scientists",NA,"Scientists_Educated","1",NA,"1","1",3,3,3,5,6,5,5,5,6,5,5,4,4,3,4,4,4,2,"17","53","85","2","42",NA,"Educated"
"60","5/14/2014 11:43","5/14/2014 11:48","1","Scientists",NA,"Scientists_Educated","1",NA,"1","1",3,2,2,3,3,5,2,3,2,2,3,2,3,2,2,2,3,2,"84","53","84","1","43",NA,"Educated"
"61","5/14/2014 11:44","5/14/2014 11:49","1","Scientists",NA,"Scientists_Scientists","1",NA,"1","1",6,6,5,6,7,6,5,6,6,5,6,5,6,5,5,4,4,5,"172","49","77","1","38",NA,"Scientists"
"62","5/14/2014 11:44","5/14/2014 11:49","1","Scientists",NA,"Scientists_Scientists","1",NA,"1","1",3,4,4,5,5,5,5,5,4,4,2,4,4,4,4,3,3,2,"31","63","93","1","38",NA,"Scientists"
"63","5/14/2014 11:55","5/14/2014 11:59","1","Scientists",NA,"Scientists_Educated","1",NA,"1","1",5,5,4,5,7,7,5,5,5,6,6,6,6,6,5,5,5,4,"137","39","65","1","38",NA,"Educated"
"65","5/14/2014 12:40","5/14/2014 12:45","1","Scientists",NA,"Scientists_Scientists","1",NA,"1","1",5,3,5,6,6,6,3,5,5,3,2,2,6,4,6,3,3,2,"163","45","73","1","38",NA,"Scientists"
"66","5/14/2014 12:43","5/14/2014 12:51","1","Scientists",NA,"Scientists_Educated","1",NA,"1","1",3,3,3,3,3,3,3,2,2,4,5,3,3,3,3,3,3,2,"86","49","83","1","43",NA,"Educated"
"67","5/14/2014 12:33","5/14/2014 12:53","1","Scientists",NA,"Scientists_Educated","1",NA,"1","1",7,7,7,7,7,7,7,7,7,7,7,7,7,7,6,7,7,1,"23","46","83","1","41",NA,"Educated"
"68","5/14/2014 12:49","5/14/2014 12:54","1","Scientists",NA,"Scientists_Scientists","1",NA,"1","1",4,7,6,6,5,6,7,7,7,2,4,2,7,7,7,5,6,4,"61","50","76","1",NA,NA,"Scientists"
"69","5/14/2014 12:54","5/14/2014 13:00","1","Scientists",NA,"Scientists_Scientists","1",NA,"1","1",5,4,5,5,6,6,5,6,6,4,4,5,5,5,6,5,4,3,"65","61","93","1","38",NA,"Scientists"
"71","5/14/2014 12:59","5/14/2014 13:11","1","Scientists",NA,"Scientists_Educated","1",NA,"1","1",6,6,4,5,7,7,6,6,6,4,4,4,5,6,6,6,5,4,"84","53","87","1","41",NA,"Educated"
"72","5/14/2014 13:08","5/14/2014 13:14","1","Scientists",NA,"Scientists_Scientists","1",NA,"1","1",2,4,2,5,5,6,4,5,6,4,4,6,5,3,3,4,5,2,"122","42","74","1","39",NA,"Scientists"
"73","5/14/2014 10:09","5/14/2014 13:18","1","Scientists",NA,"Scientists_Educated","1",NA,"1","1",6,5,5,5,7,6,6,6,6,4,5,4,6,6,3,4,3,5,"179","53","91","2","40",NA,"Educated"
"74","5/14/2014 13:16","5/14/2014 13:22","1","Scientists",NA,"Scientists_Scientists","1",NA,"1","1",3,2,3,5,3,5,3,5,5,6,5,6,5,4,4,3,3,1,"122","48","79","1","38",NA,"Scientists"
"75","5/14/2014 13:30","5/14/2014 13:36","1","Scientists",NA,"Scientists_Educated","1",NA,"1","1",4,5,3,5,5,5,5,4,4,5,3,1,4,5,4,4,5,4,"187","48","77","1","39",NA,"Educated"
"76","5/14/2014 13:38","5/14/2014 13:44","1","Scientists",NA,"Scientists_Educated","1",NA,"1","1",7,6,6,5,5,6,6,7,6,4,4,4,6,7,6,6,3,6,"122","59","89","1","39",NA,"Educated"
"77","5/14/2014 13:41","5/14/2014 13:46","1","Scientists",NA,"Scientists_Scientists","1",NA,"1","1",4,5,6,5,6,6,3,4,5,3,5,5,5,5,5,6,4,3,"61","39","73","1","38",NA,"Scientists"
"78","5/14/2014 13:47","5/14/2014 13:51","1","Scientists",NA,"Scientists_Scientists","1",NA,"1","1",6,5,6,6,6,6,6,6,5,6,6,6,6,2,6,2,3,2,"187","40","68","1","38",NA,"Scientists"
