"","X","Start_time","End_time","Finished","Respondent_group","Screening","Consent","Reason_nc","Check_group","ob1","ob2","ob3","ra1","ra2","ra3","op1","op2","op3","iq1","iq2","iq3","in1","in2","in3","co1","co2","co3","Country","Year_born","Gender","Religiousness","Feedback","Target"
"67",68,"5/14/2014 0:59","5/14/2014 1:06",1,"Educated",NA,1,NA,1,6,7,5,6,6,6,7,6,5,6,5,7,6,6,6,3,3,3,187,39,1,43,NA,"Educated"
"68",69,"5/14/2014 1:05","5/14/2014 1:08",1,"Educated",NA,1,NA,1,3,3,3,3,3,3,3,4,3,3,3,3,3,3,3,3,3,3,187,35,1,44,NA,"Educated"
"69",70,"5/14/2014 1:00","5/14/2014 1:13",1,"Educated",NA,1,NA,2,7,7,4,6,6,7,6,6,4,6,4,4,7,7,7,7,6,4,187,39,2,44,NA,"Scientists"
"70",71,"5/14/2014 1:10","5/14/2014 1:13",1,"Educated",NA,1,NA,2,2,2,3,4,2,4,2,2,2,5,4,5,3,1,1,1,1,1,187,21,1,44,NA,"Scientists"
"71",72,"5/14/2014 1:11","5/14/2014 1:16",1,"Educated",NA,1,NA,1,4,3,2,3,3,4,2,6,5,4,1,2,5,2,2,5,3,2,187,39,2,39,NA,"Educated"
"72",73,"5/14/2014 1:16","5/14/2014 1:18",1,"Educated",NA,1,NA,1,5,3,5,6,5,5,6,6,4,4,5,6,4,4,3,4,4,5,187,63,1,42,NA,"Scientists"
"73",74,"5/14/2014 0:39","5/14/2014 1:19",1,"Educated",NA,1,NA,1,4,4,4,5,4,4,4,4,4,4,3,5,4,4,4,4,4,4,187,34,1,43,NA,"Scientists"
"74",75,"5/14/2014 1:17","5/14/2014 1:22",1,"Educated",NA,1,NA,1,4,2,3,4,5,4,4,5,5,5,2,4,4,1,1,3,4,2,187,29,1,42,NA,"Educated"
"75",76,"5/14/2014 1:07","5/14/2014 1:24",1,"Educated",NA,1,NA,4,3,4,2,5,5,5,4,3,4,2,6,6,5,4,5,2,2,2,187,38,1,41,NA,"Scientists"
"76",77,"5/14/2014 1:20","5/14/2014 1:25",1,"Educated",NA,1,NA,1,3,4,3,4,5,4,3,4,3,2,2,4,5,5,2,3,3,3,187,30,2,42,NA,"Scientists"
"77",78,"5/14/2014 1:21","5/14/2014 1:28",1,"Educated",NA,1,NA,2,6,7,4,7,7,6,7,7,6,4,4,1,7,1,1,7,6,1,187,54,1,42,NA,"Educated"
"78",79,"5/14/2014 1:18","5/14/2014 1:30",1,"Educated",NA,1,NA,1,7,7,7,7,7,7,7,7,7,7,7,6,7,7,7,7,7,7,187,52,2,44,NA,"Scientists"
"79",80,"5/14/2014 1:13","5/14/2014 1:35",1,"Educated",NA,1,NA,1,3,3,3,4,5,3,3,3,3,2,6,3,3,3,3,3,3,3,187,71,2,38,NA,"Educated"
"80",81,"5/14/2014 1:33","5/14/2014 1:37",1,"Educated",NA,1,NA,2,4,3,4,5,5,4,3,3,3,3,3,4,4,4,4,3,3,3,187,31,2,44,NA,"Scientists"
"81",82,"5/14/2014 1:44","5/14/2014 1:47",1,"Educated",NA,1,NA,1,5,6,5,6,7,6,6,6,6,5,6,5,5,6,6,6,7,5,187,64,1,42,NA,"Educated"
"82",83,"5/14/2014 1:36","5/14/2014 1:50",1,"Educated",NA,1,NA,1,4,4,1,4,3,4,4,5,4,4,1,1,4,3,4,4,3,3,187,40,2,40,NA,"Educated"
"83",84,"5/14/2014 1:50","5/14/2014 1:53",1,"Educated",NA,1,NA,2,6,7,7,7,7,6,7,7,7,5,5,5,7,6,6,6,6,5,187,18,1,41,NA,"Scientists"
"84",85,"5/14/2014 1:50","5/14/2014 1:53",1,"Educated",NA,1,NA,1,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,187,31,1,41,NA,"Educated"
