"","Start_time","End_time","Finished","Respondent_group","Screening","Condition","Consent","Reason_nc","Check_phd","Check_group","ob1","ob2","ob3","ra1","ra2","ra3","op1","op2","op3","iq1","iq2","iq3","in1","in2","in3","co1","co2","co3","Country","Year_born","Year_phd","Gender","Religiousness","Feedback","Target"
"274","6/16/2014 16:24","6/16/2014 16:28","1","Scientists",NA,"Scientists_Scientists","1",NA,"1","1",6,6,1,6,5,7,5,6,5,3,1,7,6,6,6,6,6,5,"187","58","85","1","38",NA,"Scientists"
"275","6/16/2014 16:23","6/16/2014 16:28","1","Scientists",NA,"Scientists_Educated","1",NA,"1","1",3,3,2,3,3,5,3,3,3,3,3,2,5,3,3,2,3,2,"187","61","89","1","38",NA,"Educated"
"276","6/16/2014 16:28","6/16/2014 16:31","1","Scientists",NA,"Scientists_Scientists","1",NA,"1","1",6,6,1,7,6,6,3,6,6,2,5,2,6,6,6,6,5,1,"187","30","55","1","43",NA,"Scientists"
"280","6/16/2014 16:28","6/16/2014 16:35","1","Scientists",NA,"Scientists_Educated","1",NA,"1","1",2,5,2,6,3,5,5,2,5,2,2,2,2,2,2,2,2,2,"187","53","85","2","38",NA,"Educated"
"282","6/16/2014 16:32","6/16/2014 16:36","1","Scientists",NA,"Scientists_Scientists","1",NA,"1","1",5,5,3,5,5,5,5,5,7,1,2,2,5,5,5,3,5,2,"187","53","80","1","38",NA,"Scientists"
"283","6/16/2014 16:36","6/16/2014 16:39","1","Scientists",NA,"Scientists_Scientists","1",NA,"1","1",1,1,1,5,3,3,2,1,1,5,5,6,5,4,4,3,2,1,"187","52","85","1","42",NA,"Scientists"
"294","6/16/2014 16:51","6/16/2014 16:57","1","Scientists",NA,"Scientists_Scientists","1",NA,"1","1",5,5,2,6,2,7,5,6,3,2,2,2,7,6,6,6,4,4,"187","59","91","2","42",NA,"Scientists"
"299","6/16/2014 16:58","6/16/2014 17:02","1","Scientists",NA,"Scientists_Scientists","1",NA,"1","1",5,2,1,5,5,5,3,3,5,2,5,2,5,5,6,3,3,3,"187","55","92","2","39",NA,"Scientists"
"300","6/16/2014 17:06","6/16/2014 17:10","1","Scientists",NA,"Scientists_Educated","1",NA,"1","1",2,2,2,4,4,4,2,2,3,4,5,3,4,1,1,3,4,3,"187","34","56","1","43",NA,"Educated"
"309","6/16/2014 17:21","6/16/2014 17:27","1","Scientists",NA,"Scientists_Educated","1",NA,"1","1",5,5,5,6,6,6,5,6,6,5,5,5,5,3,2,5,2,3,"187","35","63","2","38",NA,"Educated"
"311","6/16/2014 17:18","6/16/2014 17:34","1","Scientists",NA,"Scientists_Educated","1",NA,"1","1",4,3,4,5,6,5,4,5,4,6,3,5,4,1,2,2,1,1,"187","42","70","1","43",NA,"Educated"
"314","6/16/2014 17:41","6/16/2014 17:44","1","Scientists",NA,"Scientists_Scientists","1",NA,"1","1",2,3,2,6,5,6,2,3,6,5,4,5,6,6,6,3,4,2,"187","56","85","1","39",NA,"Scientists"
