"","Start_time","End_time","Finished","Respondent_group","Screening","Condition","Consent","Reason_nc","Check_group","ob1","ob2","ob3","ra1","ra2","ra3","op1","op2","op3","iq1","iq2","iq3","in1","in2","in3","co1","co2","co3","Country","Year_born","Gender","Occupation","Occupation_other","Religiousness","Feedback","Target"
"43","5/13/2014 23:17","5/13/2014 23:19","1","Educated",NA,"Educated_Scientists","1",NA,"1",5,6,2,6,5,6,5,6,5,5,5,6,6,5,5,6,6,5,"187","65","2","6",NA,"38",NA,"Scientists"
"44","5/13/2014 23:15","5/13/2014 23:19","1","Educated",NA,"Educated_Educated","1",NA,"1",6,5,5,6,6,5,6,5,6,5,5,5,6,6,5,5,5,3,"187","49","1","7","manager","43",NA,"Educated"
"45","5/13/2014 23:23","5/13/2014 23:26","1","Educated",NA,"Educated_Scientists","1",NA,"2",6,6,6,7,6,6,6,6,4,2,3,4,7,7,7,7,6,5,"187","41","1","7","retired","44",NA,"Scientists"
"46","5/13/2014 23:22","5/13/2014 23:27","1","Educated",NA,"Educated_Educated","1",NA,"2",3,6,3,5,5,6,3,5,5,5,2,1,5,3,3,3,2,2,"187","33","2","7","teacher","39",NA,"Educated"
"47","5/13/2014 23:25","5/13/2014 23:28","1","Educated",NA,"Educated_Educated","1",NA,"1",4,4,4,4,4,4,4,4,4,4,4,3,4,3,4,4,4,4,"187","46","1","7","Massage Therapist","38",NA,"Educated"
"48","5/13/2014 23:25","5/13/2014 23:29","1","Educated",NA,"Educated_Scientists","1",NA,"1",5,6,5,7,7,7,7,5,6,6,6,6,7,6,6,6,6,5,"187","39","2","7","manager","39",NA,"Scientists"
"49","5/13/2014 23:30","5/13/2014 23:31","1","Educated",NA,"Educated_Scientists","1",NA,"1",7,5,7,6,6,7,7,7,4,5,1,5,7,6,7,6,5,2,"187","43","1","7","OSR","44",NA,"Scientists"
"50","5/13/2014 23:30","5/13/2014 23:32","1","Educated",NA,"Educated_Scientists","1",NA,"2",7,7,4,7,7,7,5,7,7,5,5,4,7,7,7,7,4,4,"187","36","2","7","dir it","38",NA,"Scientists"
"51","5/13/2014 23:29","5/13/2014 23:34","1","Educated",NA,"Educated_Educated","1",NA,"2",5,6,2,5,6,5,5,6,6,5,2,5,4,2,2,3,3,2,"187","54","2","7",NA,"43",NA,"Educated"
"52","5/13/2014 23:32","5/13/2014 23:37","1","Educated",NA,"Educated_Educated","1",NA,"2",4,4,4,4,4,4,4,4,4,6,4,4,4,4,4,4,4,4,"187","53","2","7","commercial real estate","43",NA,"Educated"
"53","5/13/2014 23:35","5/13/2014 23:40","1","Educated",NA,"Educated_Scientists","1",NA,"1",5,6,6,6,7,7,4,6,6,6,4,6,7,6,7,7,7,6,"187","30","2","7","retired","44",NA,"Scientists"
"54","5/13/2014 23:39","5/13/2014 23:42","1","Educated",NA,"Educated_Educated","1",NA,"1",5,4,3,5,5,5,5,5,5,3,4,4,5,4,4,3,4,3,"187","46","1","7","IT manager","40",NA,"Educated"
"55","5/13/2014 23:39","5/13/2014 23:42","1","Educated",NA,"Educated_Educated","1",NA,"1",5,5,3,5,6,6,3,6,6,5,2,3,6,5,6,3,5,3,"187","66","2","7","disabled","39",NA,"Educated"
"56","5/13/2014 23:39","5/13/2014 23:43","1","Educated",NA,"Educated_Scientists","1",NA,"2",6,5,2,5,5,6,5,3,5,1,1,2,5,5,5,5,1,1,"187","32","2","7","Grants Accountant","43",NA,"Scientists"
"57","5/13/2014 23:47","5/13/2014 23:50","1","Educated",NA,"Educated_Educated","1",NA,"2",4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,"187","30","2","7","Adjunct Professor","44",NA,"Educated"
